product,min,max,avg,variation,trend,timestamp,produit,prev_avg,updated_at
Nike Air Max,55.42,268.94,98.0,-17.0,DOWN,2026-04-06 15:42,Nike Air Max,115.0,2026-04-06 15:42
Nike Air Force 1,55.42,268.94,110.0,-5.0,DOWN,2026-04-06 15:43,Nike Air Force 1,115.0,2026-04-06 15:43
Nike Pegasus,55.42,268.94,137.5,-5.0,DOWN,2026-04-06 15:44,Nike Pegasus,142.5,2026-04-06 15:44
Nike Dunk Low,55.0,280.01,95.72,-1.78,DOWN,2026-04-06 15:45,Nike Dunk Low,97.5,2026-04-06 15:45
Nike ZoomX,55.42,268.94,147.5,-10.0,DOWN,2026-04-06 15:46,Nike ZoomX,157.5,2026-04-06 15:46
Nike React Infinity,55.42,280.01,140.0,5.0,UP,2026-04-06 15:47,Nike React Infinity,135.0,2026-04-06 15:47
Adidas Samba,55.0,268.94,92.72,16.33,UP,2026-04-06 15:48,Adidas Samba,76.39,2026-04-06 15:48
Adidas Gazelle,55.42,268.94,92.72,7.72,UP,2026-04-06 15:49,Adidas Gazelle,85.0,2026-04-06 15:49
Adidas Campus,55.42,268.94,95.99,0.99,UP,2026-04-06 15:51,Adidas Campus,95.0,2026-04-06 15:51
Adidas Ultraboost,55.42,280.01,140.0,-2.0,DOWN,2026-04-06 15:51,Adidas Ultraboost,142.0,2026-04-06 15:51
Adidas NMD R1,55.0,268.94,95.72,5.72,UP,2026-04-06 15:53,Adidas NMD R1,90.0,2026-04-06 15:53
Adidas Forum Low,55.42,280.01,210.03,-15.03,DOWN,2026-04-06 15:54,Adidas Forum Low,225.06,2026-04-06 15:54
New Balance 550,55.42,268.94,120.0,-5.0,DOWN,2026-04-06 15:55,New Balance 550,125.0,2026-04-06 15:55
New Balance 574,55.42,268.94,120.0,-5.0,DOWN,2026-04-06 15:56,New Balance 574,125.0,2026-04-06 15:56
New Balance 9060,55.42,280.01,103.0,-29.5,DOWN,2026-04-06 15:57,New Balance 9060,132.5,2026-04-06 15:57
New Balance 2002R,55.42,280.01,210.03,0.0,STABLE,2026-04-06 15:58,New Balance 2002R,210.03,2026-04-06 15:58
New Balance 1906R,55.42,280.01,95.72,-1.78,DOWN,2026-04-06 15:59,New Balance 1906R,97.5,2026-04-06 15:59
New Balance 327,55.42,268.94,120.0,-5.0,DOWN,2026-04-06 16:01,New Balance 327,125.0,2026-04-06 16:01
Puma Suede Classic,55.42,280.01,115.0,-5.0,DOWN,2026-04-06 16:02,Puma Suede Classic,120.0,2026-04-06 16:02
Puma RS-X,55.42,314.17,240.1,0.0,STABLE,2026-04-06 16:03,Puma RS-X,240.1,2026-04-06 16:03
Puma Palermo,55.42,268.94,95.22,0.22,UP,2026-04-06 16:05,Puma Palermo,95.0,2026-04-06 16:05
Puma Clyde,55.42,280.01,225.06,-15.04,DOWN,2026-04-06 16:06,Puma Clyde,240.1,2026-04-06 16:06
Puma Future Rider,55.0,268.94,95.99,-16.51,DOWN,2026-04-06 16:07,Puma Future Rider,112.5,2026-04-06 16:07
Puma Slipstream,55.42,268.94,95.22,10.22,UP,2026-04-06 16:09,Puma Slipstream,85.0,2026-04-06 16:09
Asics Gel-Kayano,55.42,280.01,190.01,-20.02,DOWN,2026-04-06 16:10,Asics Gel-Kayano,210.03,2026-04-06 16:10
Asics Gel-Nimbus,55.42,268.94,102.5,-5.0,DOWN,2026-04-06 16:11,Asics Gel-Nimbus,107.5,2026-04-06 16:11
Asics Gel-Lyte III,55.42,268.94,102.5,-5.0,DOWN,2026-04-06 16:12,Asics Gel-Lyte III,107.5,2026-04-06 16:12
Asics GT-2000,55.42,280.01,172.03,10.06,UP,2026-04-06 16:14,Asics GT-2000,161.97,2026-04-06 16:14
Asics Novablast,55.42,268.94,102.5,-2.5,DOWN,2026-04-06 16:16,Asics Novablast,105.0,2026-04-06 16:16
Asics Gel-1130,55.0,280.01,92.72,5.22,UP,2026-04-06 16:17,Asics Gel-1130,87.5,2026-04-06 16:17
Jordan Jordan 1 Low,55.42,280.01,95.99,-1.51,DOWN,2026-04-06 16:18,Jordan Jordan 1 Low,97.5,2026-04-06 16:18
Jordan Jordan 1 Mid,55.0,268.94,92.72,5.22,UP,2026-04-06 16:19,Jordan Jordan 1 Mid,87.5,2026-04-06 16:19
Jordan Jordan 3,55.42,268.94,85.91,10.91,UP,2026-04-06 16:21,Jordan Jordan 3,75.0,2026-04-06 16:21
Jordan Jordan 4,55.42,389.17,103.0,-7.0,DOWN,2026-04-06 16:22,Jordan Jordan 4,110.0,2026-04-06 16:22
Jordan Jordan 11,55.42,280.01,165.01,3.04,UP,2026-04-06 16:23,Jordan Jordan 11,161.97,2026-04-06 16:23
Jordan Jordan 5,55.42,268.94,100.0,-5.0,DOWN,2026-04-06 16:24,Jordan Jordan 5,105.0,2026-04-06 16:24
Reebok Club C 85,55.42,280.01,95.44,2.94,UP,2026-04-06 16:26,Reebok Club C 85,92.5,2026-04-06 16:26
Reebok Classic Leather,55.42,319.17,95.99,15.99,UP,2026-04-06 16:27,Reebok Classic Leather,80.0,2026-04-06 16:27
Reebok Nano X,55.42,280.01,95.99,-114.04,DOWN,2026-04-06 16:28,Reebok Nano X,210.03,2026-04-06 16:28
Reebok Question Mid,55.42,268.94,90.0,11.81,UP,2026-04-06 16:30,Reebok Question Mid,78.19,2026-04-06 16:30
