Active;Name;Categories;Price;Reference;Short description;Description;Meta description
1;Nike Air Force 1 High;Sneakers|Nike;129,99;SB-NIK-AIR-FORCE-1-HI;Agrégat FR SneakerBot — 43 sources.;Prix min 94.99 €, max 166.23 €, moyenne 129.99 €. Mise à jour : 2026-03-28 19:29:13.;Nike Air Force 1 High — à partir de 95 € (marché FR).
1;Nike Air Force 1 Low;Sneakers|Nike;115,50;SB-NIK-AIR-FORCE-1-LO;Agrégat FR SneakerBot — 46 sources.;Prix min 79.99 €, max 139.98 €, moyenne 115.50 €. Mise à jour : 2026-03-28 19:29:13.;Nike Air Force 1 Low — à partir de 80 € (marché FR).
1;Nike Air Force 1 Mid;Sneakers|Nike;122,64;SB-NIK-AIR-FORCE-1-MI;Agrégat FR SneakerBot — 40 sources.;Prix min 90.00 €, max 157.50 €, moyenne 122.64 €. Mise à jour : 2026-03-28 19:29:13.;Nike Air Force 1 Mid — à partir de 90 € (marché FR).
1;Nike Air Max 90 Essential;Sneakers|Nike;126,93;SB-NIK-AIR-MAX-90-ESS;Agrégat FR SneakerBot — 43 sources.;Prix min 90.00 €, max 157.50 €, moyenne 126.93 €. Mise à jour : 2026-03-28 19:29:13.;Nike Air Max 90 Essential — à partir de 90 € (marché FR).
1;Nike Air Max 90 Gore-Tex;Sneakers|Nike;125,71;SB-NIK-AIR-MAX-90-GOR;Agrégat FR SneakerBot — 47 sources.;Prix min 89.95 €, max 157.41 €, moyenne 125.71 €. Mise à jour : 2026-03-28 19:29:13.;Nike Air Max 90 Gore-Tex — à partir de 90 € (marché FR).
1;Nike Air Max 90 Premium;Sneakers|Nike;129,89;SB-NIK-AIR-MAX-90-PRE;Agrégat FR SneakerBot — 46 sources.;Prix min 94.99 €, max 166.23 €, moyenne 129.89 €. Mise à jour : 2026-03-28 19:29:13.;Nike Air Max 90 Premium — à partir de 95 € (marché FR).
1;Nike Air Max 95 Essential;Sneakers|Nike;132,68;SB-NIK-AIR-MAX-95-ESS;Agrégat FR SneakerBot — 40 sources.;Prix min 94.99 €, max 166.23 €, moyenne 132.68 €. Mise à jour : 2026-03-28 19:29:13.;Nike Air Max 95 Essential — à partir de 95 € (marché FR).
1;Nike Dunk High Retro;Sneakers|Nike;107,38;SB-NIK-DUNK-HIGH-RETR;Agrégat FR SneakerBot — 30 sources.;Prix min 79.99 €, max 135.00 €, moyenne 107.38 €. Mise à jour : 2026-03-28 19:29:13.;Nike Dunk High Retro — à partir de 80 € (marché FR).
1;Nike Dunk Low Pro;Sneakers|Nike;125,72;SB-NIK-DUNK-LOW-PRO;Agrégat FR SneakerBot — 45 sources.;Prix min 90.00 €, max 157.50 €, moyenne 125.72 €. Mise à jour : 2026-03-28 19:29:13.;Nike Dunk Low Pro — à partir de 90 € (marché FR).
1;Nike Dunk Low Retro;Sneakers|Nike;119,23;SB-NIK-DUNK-LOW-RETRO;Agrégat FR SneakerBot — 46 sources.;Prix min 90.00 €, max 157.50 €, moyenne 119.23 €. Mise à jour : 2026-03-28 19:29:13.;Nike Dunk Low Retro — à partir de 90 € (marché FR).
