ID,Type,SKU,Name,Published,Short description,Description,Regular price,Sale price,Categories,Tags,In stock?,Meta: _price_min,Meta: _price_max,Meta: _price_avg,Meta: _nb_sources,Meta: _last_update
,simple,SB-ADI-CAMPUS-00S,Adidas Campus 00s,1,Prix agrégés marché FR — 40 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 65.00 €, max 113.75 €, moyenne 87.04 €. Dernière mise à jour : 2026-03-28 18:41:31.",113.75,87.04,Sneakers > Adidas,"Adidas,sneakers,FR",1,65.00,113.75,87.04,40,2026-03-28 18:41:31
,simple,SB-ADI-CAMPUS-00S-WOM,Adidas Campus 00s Women,1,Prix agrégés marché FR — 32 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 85.00 €, max 155.00 €, moyenne 115.00 €. Dernière mise à jour : 2026-03-28 18:41:31.",155.00,115.00,Sneakers > Adidas,"Adidas,sneakers,FR",1,85.00,155.00,115.00,32,2026-03-28 18:41:31
,simple,SB-ADI-CAMPUS-80S,Adidas Campus 80s,1,Prix agrégés marché FR — 40 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 65.00 €, max 113.75 €, moyenne 86.08 €. Dernière mise à jour : 2026-03-28 18:41:31.",113.75,86.08,Sneakers > Adidas,"Adidas,sneakers,FR",1,65.00,113.75,86.08,40,2026-03-28 18:41:31
,simple,SB-ADI-FORUM-BOLD-WOM,Adidas Forum Bold Women,1,Prix agrégés marché FR — 31 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 95.00 €, max 170.00 €, moyenne 128.00 €. Dernière mise à jour : 2026-03-28 18:41:31.",170.00,128.00,Sneakers > Adidas,"Adidas,sneakers,FR",1,95.00,170.00,128.00,31,2026-03-28 18:41:31
,simple,SB-ADI-FORUM-HIGH,Adidas Forum High,1,Prix agrégés marché FR — 35 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 74.95 €, max 130.00 €, moyenne 98.35 €. Dernière mise à jour : 2026-03-28 18:41:31.",130.00,98.35,Sneakers > Adidas,"Adidas,sneakers,FR",1,74.95,130.00,98.35,35,2026-03-28 18:41:31
,simple,SB-ADI-FORUM-LOW,Adidas Forum Low,1,Prix agrégés marché FR — 42 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 65.00 €, max 113.75 €, moyenne 87.99 €. Dernière mise à jour : 2026-03-28 18:41:31.",113.75,87.99,Sneakers > Adidas,"Adidas,sneakers,FR",1,65.00,113.75,87.99,42,2026-03-28 18:41:31
,simple,SB-ADI-GAZELLE-BOLD,Adidas Gazelle Bold,1,Prix agrégés marché FR — 44 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 70.00 €, max 122.50 €, moyenne 95.41 €. Dernière mise à jour : 2026-03-28 18:41:31.",122.50,95.41,Sneakers > Adidas,"Adidas,sneakers,FR",1,70.00,122.50,95.41,44,2026-03-28 18:41:31
,simple,SB-ADI-GAZELLE-BOLD-W,Adidas Gazelle Bold Women,1,Prix agrégés marché FR — 38 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 90.00 €, max 160.00 €, moyenne 118.00 €. Dernière mise à jour : 2026-03-28 18:41:31.",160.00,118.00,Sneakers > Adidas,"Adidas,sneakers,FR",1,90.00,160.00,118.00,38,2026-03-28 18:41:31
,simple,SB-ADI-GAZELLE-INDOOR,Adidas Gazelle Indoor,1,Prix agrégés marché FR — 40 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 70.00 €, max 122.50 €, moyenne 96.39 €. Dernière mise à jour : 2026-03-28 18:41:31.",122.50,96.39,Sneakers > Adidas,"Adidas,sneakers,FR",1,70.00,122.50,96.39,40,2026-03-28 18:41:31
,simple,SB-ADI-HANDBALL-SPEZI,Adidas Handball Spezial Women,1,Prix agrégés marché FR — 38 source(s).,"SneakerBot — agrégat multi-boutiques FR. Min 90.00 €, max 160.00 €, moyenne 120.00 €. Dernière mise à jour : 2026-03-28 18:41:31.",160.00,120.00,Sneakers > Adidas,"Adidas,sneakers,FR",1,90.00,160.00,120.00,38,2026-03-28 18:41:31
