brand,model,market,price_min,price_max,price_avg,price_median,updated_at,nb_sources,groq_valid,groq_confidence
Adidas,Campus 00s,FR,80.0,130.0,100.67,95.0,2026-04-07 04:00:00,6,true,0.85
Adidas,Campus 00s Women,FR,85.0,155.0,115.0,115.0,2026-04-07 04:00:00,5,true,0.85
Adidas,Campus 80s,FR,80.0,130.0,104.0,100.0,2026-04-07 04:00:00,5,true,0.85
Adidas,Forum Bold Women,FR,89.95,130.0,110.26,119.95,2026-04-07 04:00:00,7,true,0.85
Adidas,Forum High,FR,90.0,120.0,105.0,105.0,2026-04-07 04:00:00,4,true,0.85
Adidas,Forum Low,FR,89.95,130.0,107.98,110.0,2026-04-07 04:00:00,7,true,0.85
Adidas,Gazelle Bold,FR,80.0,130.0,99.25,92.5,2026-04-07 04:00:00,8,true,0.85
Adidas,Gazelle Bold Women,FR,80.0,130.0,100.0,92.5,2026-04-07 04:00:00,6,true,0.85
Adidas,Gazelle Indoor,FR,80.0,120.0,96.07,90.0,2026-04-07 04:00:00,11,true,0.85
Adidas,Handball Spezial Women,FR,90.0,160.0,120.0,120.0,2026-04-07 04:00:00,19,true,0.85
Adidas,Samba Classic,FR,89.99,130.0,108.72,110.0,2026-04-07 04:00:00,11,true,0.85
Adidas,Samba OG,FR,89.99,130.0,108.89,110.0,2026-04-07 04:00:00,9,true,0.85
Adidas,Samba OG Women,FR,89.99,130.0,109.99,114.97,2026-04-07 04:00:00,10,true,0.85
Adidas,SL 72 OG Women,FR,85.0,150.0,112.0,112.0,2026-04-07 04:00:00,14,true,0.85
Adidas,Stan Smith,FR,70.0,120.0,96.67,100.0,2026-04-07 04:00:00,6,true,0.85
Adidas,Stan Smith Recon,FR,75.0,115.0,94.19,90.0,2026-04-07 04:00:00,9,true,0.85
Adidas,Superstar,FR,75.0,130.0,104.42,106.45,2026-04-07 04:00:00,10,true,0.85
Adidas,Superstar XLG,FR,75.0,130.0,97.59,90.0,2026-04-07 04:00:00,9,true,0.85
Asics,Gel-1130,FR,80.0,120.0,100.08,99.95,2026-04-07 04:00:00,11,true,0.85
Asics,Gel-1130 Premium,FR,80.0,120.0,97.5,95.0,2026-04-07 04:00:00,6,true,0.85
Asics,Gel-1130 Women,FR,80.0,120.0,97.39,94.95,2026-04-07 04:00:00,12,true,0.85
Asics,Gel-Cumulus 26,FR,90.0,157.5,130.37,130.37,2026-04-07 04:00:00,7,true,0.85
Asics,Gel-Kayano 14,FR,95.0,166.25,133.18,133.18,2026-04-07 04:00:00,5,true,0.85
