brand,model,market,shop,price_min,price_max,price_avg,price_count,updated_at
Adidas,Campus 00s,FR,Courir,65.0,100.0,80.0,6,2026-04-07 04:00:00
Adidas,Campus 00s,FR,Sport 2000 (grande surface),63.0,90.0,74.4,5,2026-04-07 04:00:00
Adidas,Campus 00s Women,FR,Courir,65.0,100.0,80.0,6,2026-04-07 04:00:00
Adidas,Campus 00s Women,FR,JD Sports,120.0,120.0,120.0,1,2026-04-07 04:00:00
Adidas,Campus 80s,FR,Courir,65.0,100.0,80.0,6,2026-04-07 04:00:00
Adidas,Forum Bold Women,FR,Courir,120.0,120.0,120.0,1,2026-04-07 04:00:00
Adidas,Forum Bold Women,FR,JD Sports,120.0,130.0,125.0,2,2026-04-07 04:00:00
Adidas,Forum Bold Women,FR,Sport 2000 (grande surface),72.0,90.0,80.8,5,2026-04-07 04:00:00
Adidas,Forum Bold Women,FR,Zalando,79.95,119.95,93.36,5,2026-04-07 04:00:00
Adidas,Forum High,FR,Courir,90.0,120.0,105.0,2,2026-04-07 04:00:00
Adidas,Forum High,FR,Sport 2000 (grande surface),65.0,109.99,84.99,3,2026-04-07 04:00:00
Adidas,Forum Low,FR,Courir,90.0,120.0,105.0,2,2026-04-07 04:00:00
Adidas,Forum Low,FR,JD Sports,60.0,90.0,71.67,3,2026-04-07 04:00:00
Adidas,Forum Low,FR,Sport 2000 (grande surface),65.0,90.0,78.2,5,2026-04-07 04:00:00
Adidas,Forum Low,FR,Zalando,58.45,95.95,79.7,6,2026-04-07 04:00:00
Adidas,Gazelle Bold,FR,Courir,70.0,95.0,84.0,5,2026-04-07 04:00:00
Adidas,Gazelle Bold,FR,Foot Locker,74.99,74.99,74.99,1,2026-04-07 04:00:00
Adidas,Gazelle Bold,FR,JD Sports,120.0,130.0,125.0,2,2026-04-07 04:00:00
Adidas,Gazelle Bold,FR,Sport 2000 (grande surface),84.0,130.0,111.0,4,2026-04-07 04:00:00
Adidas,Gazelle Bold Women,FR,Courir,70.0,95.0,84.0,5,2026-04-07 04:00:00
