product,min,max,avg,variation,trend,timestamp,produit,prev_avg,updated_at
Nike Air Max,55.42,268.94,98.0,0.0,STABLE,2026-04-07 18:01,Nike Air Max,98.0,2026-04-07 18:01
Nike Air Force 1,55.42,268.94,110.0,0.0,STABLE,2026-04-07 18:02,Nike Air Force 1,110.0,2026-04-07 18:02
Nike Pegasus,55.42,268.94,142.5,0.0,STABLE,2026-04-07 18:03,Nike Pegasus,142.5,2026-04-07 18:03
Nike Dunk Low,55.0,280.01,95.72,0.0,STABLE,2026-04-07 18:04,Nike Dunk Low,95.72,2026-04-07 18:04
Nike ZoomX,55.42,268.94,147.5,0.0,STABLE,2026-04-07 18:05,Nike ZoomX,147.5,2026-04-07 18:05
Nike React Infinity,55.42,280.01,150.0,0.0,STABLE,2026-04-07 18:06,Nike React Infinity,150.0,2026-04-07 18:06
Adidas Samba,55.0,268.94,92.72,0.0,STABLE,2026-04-07 18:07,Adidas Samba,92.72,2026-04-07 18:07
Adidas Gazelle,55.42,268.94,92.72,0.0,STABLE,2026-04-07 18:09,Adidas Gazelle,92.72,2026-04-07 18:09
Adidas Campus,55.42,268.94,95.99,0.0,STABLE,2026-04-07 18:10,Adidas Campus,95.99,2026-04-07 18:10
Adidas Ultraboost,55.42,280.01,140.0,0.0,STABLE,2026-04-07 18:11,Adidas Ultraboost,140.0,2026-04-07 18:11
Adidas NMD R1,55.0,268.94,95.72,0.0,STABLE,2026-04-07 18:12,Adidas NMD R1,95.72,2026-04-07 18:12
Adidas Forum Low,55.0,268.94,90.0,0.0,STABLE,2026-04-07 18:13,Adidas Forum Low,90.0,2026-04-07 18:13
New Balance 550,55.42,268.94,120.0,0.0,STABLE,2026-04-07 18:14,New Balance 550,120.0,2026-04-07 18:14
New Balance 574,55.42,268.94,120.0,0.0,STABLE,2026-04-07 18:16,New Balance 574,120.0,2026-04-07 18:16
New Balance 9060,55.42,280.01,103.0,7.28,UP,2026-04-07 18:17,New Balance 9060,95.72,2026-04-07 18:17
New Balance 2002R,55.42,280.01,210.03,0.0,STABLE,2026-04-07 18:19,New Balance 2002R,210.03,2026-04-07 18:19
New Balance 1906R,55.42,268.94,95.72,0.0,STABLE,2026-04-07 18:20,New Balance 1906R,95.72,2026-04-07 18:20
New Balance 327,55.42,268.94,120.0,0.0,STABLE,2026-04-07 18:21,New Balance 327,120.0,2026-04-07 18:21
Puma Suede Classic,55.42,280.01,115.0,0.0,STABLE,2026-04-07 18:22,Puma Suede Classic,115.0,2026-04-07 18:22
Puma RS-X,55.42,280.01,225.06,0.0,STABLE,2026-04-07 18:23,Puma RS-X,225.06,2026-04-07 18:23
Puma Palermo,55.42,268.94,95.22,0.0,STABLE,2026-04-07 18:24,Puma Palermo,95.22,2026-04-07 18:24
